ticker,name,category,theme,news_query,enabled
GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure ETF,ETF,스마트그리드,smart grid infrastructure ETF power grid,1
PAVE,Global X U.S. Infrastructure Development ETF,ETF,미국 인프라,U.S. infrastructure ETF power grid,1
IFRA,iShares U.S. Infrastructure ETF,ETF,미국 인프라,U.S. infrastructure development ETF electricity grid,1
ETN,Eaton,Stock,전력기기,Eaton power management electrical equipment,1
GEV,GE Vernova,Stock,전력망·발전,GE Vernova grid power electrification,1
PWR,Quanta Services,Stock,송전망 시공,Quanta Services transmission grid infrastructure,1
NGG,National Grid ADR,Stock,전력망 운영,National Grid electricity transmission investment,1
486450.KS,SOL 미국AI전력인프라,KR ETF,AI전력인프라,SOL 미국AI전력인프라 AI 전력 인프라 ETF,1
487240.KS,KODEX AI전력핵심설비,KR ETF,국내 전력설비,KODEX AI전력핵심설비 전력설비 ETF,1
